Case ID,Case Type,Court,Judge Name,Date,Plaintiff,Defendant,Case Summary,Key Arguments,Verdict,Appeal Status,Legal References,Outcome Summary
1,Corporate Law,Supreme Court,Justice Sharma,2019-08-24,Party_129,Party_738,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",In favor of Defendant,No Appeal,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
2,Corporate Law,Supreme Court,Justice Reddy,2019-01-06,Party_265,Party_851,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",In favor of Plaintiff,Appeal Dismissed,Hindu Marriage Act 1955,In favor of Plaintiff with reference to Hindu Marriage Act 1955.
3,Corporate Law,District Court,Justice Reddy,2016-06-02,Party_465,Party_714,Legal dispute over corporate law issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Joint Custody,Appeal Pending,"Article 300A, Transfer of Property Act 1882","Joint Custody with reference to Article 300A, Transfer of Property Act 1882."
4,Constitutional,NCLT,Justice Sharma,2023-07-13,Party_417,Party_696,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,In favor of Defendant,No Appeal,Hindu Marriage Act 1955,In favor of Defendant with reference to Hindu Marriage Act 1955.
5,Constitutional,Family Court,Justice Reddy,2021-09-28,Party_26,Party_590,Legal dispute over constitutional issue.,Arguments presented based on Hindu Marriage Act 1955.,Joint Custody,No Appeal,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
6,Constitutional,District Court,Justice Sharma,2024-12-08,Party_481,Party_944,Legal dispute over constitutional issue.,"Arguments presented based on IPC Section 378, 323.",Joint Custody,Appeal Dismissed,"IPC Section 378, 323","Joint Custody with reference to IPC Section 378, 323."
7,Civil Dispute,Supreme Court,Justice Mehta,2019-11-09,Party_453,Party_897,Legal dispute over civil dispute issue.,Arguments presented based on Companies Act 2013.,In favor of Plaintiff,Appeal Dismissed,"IPC Section 378, 323","In favor of Plaintiff with reference to IPC Section 378, 323."
8,Constitutional,District Court,Justice Mehta,2018-12-24,Party_318,Party_626,Legal dispute over constitutional issue.,"Arguments presented based on Article 300A, Transfer of Property Act 1882.",Not Guilty,Appeal Dismissed,"IPC Section 378, 323","Not Guilty with reference to IPC Section 378, 323."
9,Corporate Law,NCLT,Justice Mehta,2016-03-21,Party_208,Party_676,Legal dispute over corporate law issue.,Arguments presented based on Companies Act 2013.,Guilty,No Appeal,"IPC Section 378, 323","Guilty with reference to IPC Section 378, 323."
10,Corporate Law,NCLT,Justice Sharma,2019-04-24,Party_97,Party_829,Legal dispute over corporate law issue.,"Arguments presented based on Constitution of India, Article 21.",Joint Custody,Appeal Dismissed,Hindu Marriage Act 1955,Joint Custody with reference to Hindu Marriage Act 1955.
